number,forum,title,abstract,authors,decision
24,https://openreview.net/forum?id=NJcszyl19PN,Deep ensembles based on Stochastic Activation Selection for Polyp Segmentation,"Semantic segmentation has a wide array of applications ranging from medical-image analysis, scene understanding, autonomous driving and robotic navigation. This work deals with medical image segmentation and in particular with accurate polyp detection and segmentation during colonoscopy examinations. Several convolutional neural network architectures have been proposed to effectively deal with this task and with the problem of segmenting objects at different scale input. The basic architecture in image segmentation consists of an encoder and a decoder: the first uses convolutional filters to extract features from the image, the second is responsible for generating the final output. In this work, we compare some variant of the DeepLab architecture obtained by varying the decoder backbone. We compare several decoder architectures, including ResNet, Xception, EfficentNet, MobileNet and we perturb their layers by substituting ReLU activation layers with other functions. The resulting methods are used to create deep ensembles which are shown to be very effective. Our experimental evaluations show that our best ensemble produces good segmentation results by achieving high evaluation scores with a dice coefficient of  0.884, and a mean Intersection over Union (mIoU) of 0.818 for the Kvasir-SEG dataset. To improve reproducibility and research efficiency the MATLAB source code used for this research is available at GitHub: https://github.com/LorisNanni.",Alessandra Lumini|Loris Nanni|Gianluca Maguolo,Accept (Poster)
25,https://openreview.net/forum?id=XCRthDLsCXn,Partial Convolution Network for Metal Artifact Reduction in CT Preprocessing: Preliminary Results,"Metal artifacts impair the diagnostic value of medical CT images. These artifacts occur from the projection values associated with the metal objects inside the scanned anatomy. In this work, we replace the corrupted projection values by using a deep convolutional neural network consisting of so-called partial convolution layers. 
We show that the network trained on simulated data enhances newly presented projection data and therefore the corresponding reconstructed image. ",Laura Hellwege|Nele Blum|Thorsten Buzug|Maik Stille,Accept (Poster)
28,https://openreview.net/forum?id=84NU3uAj1HW,Projection Domain Metal Artifact Reduction in Computed Tomography using Conditional Generative Adversarial Networks,"High-density objects in the field of view, still remain one of the major challenges in CT
image reconstruction. They cause artifacts in the image, which degrade the quality and
the diagnostic value of the image. Standard approaches for metal artifact reduction are
often unable to correct these artifacts sufficiently or introduce new artifacts. In this work,
a new deep learning approach for the reduction of metal artifacts in CT images is proposed
using a Generative Adversarial Network. A generator network is applied directly to the
projection data corrupted by the metal objects to learn the corrected data. In addition, a
second network, the discriminator, is used to evaluate the quality of the learned data. The
results of the trained generator network show that most of the data could be reasonably
replaced by the network, reducing the artifacts in the reconstructed image.",Nele Blum|Thorsten Buzug|Maik Stille,Accept (Poster)
31,https://openreview.net/forum?id=eehADvdlUa3,Morphology-based losses for weakly supervised segmentation of mammograms,"Segmentation is one of the most common tasks in medical imaging, but it often requires expensive ground truth for training. Weakly supervised methods cope with the lack of annotations, however, they often fall short compared to fully supervised ones. In this work, we propose to constrain the segmentation output with morphological operations, leading to an increase in the overall performance. In particular, we use top-hat and closing operations. We evaluate the method on high-resolution images from INBreast dataset and achieve an increase in F$_1$ of $\approx 0.14$ and in recall of $\approx 0.22$ compared to the training without morphology loss.",Mickael Tardy|Diana Mateus,Accept (Poster)
33,https://openreview.net/forum?id=GHNGMR1EAtN,Predicting molecular subtypes of breast cancer using multimodal deep learning and incorporation of the attention mechanism,"Accurately determining the molecular subtype of breast cancer is an important factor for the prognosis of breast cancer patients, and can guide treatment selection. In this study, we report a multimodal deep learning with attention mechanism (MDLA) for predicting the molecular subtypes of breast cancer from mammography and ultrasound images. Incorporation of the attention mechanism improved diagnostic performance for predicting 4-class molecular subtypes with Matthews correlation coefficient (MCC) of 0.794. The MDLA can also discriminate between Luminal disease and non-luminal disease with areas under the receiver operating characteristic curve (AUC) of 0.855. This work thus provides a noninvasive imaging biomarker to predict the molecular subtypes of breast cancer.",Tianyu Zhang|Luyi Han|Yuan Gao|Xin Wang|Regina Beets-Tan|Ritse Mann,Accept (Poster)
34,https://openreview.net/forum?id=dVUHL5QhDhL,Efficient Video-Based Deep Learning for Ultrasound Guided Needle Insertion,"We investigate video-based deep learning approaches for detecting needle insertions in ultrasound videos. We introduce two efficient and conceptually simple extensions to convert standard 2D object detectors into video object detectors that make use of temporal information from a history of frames. We compare our approaches to a 2D baseline method that makes independent predictions per frame. Given the need to run in real-time on computationally restricted environments, emphasis is placed on low computational complexity.",Jonathan Rubin|Alvin Chen|Anumod Odungattu Thodiyil|Raghavendra Srinivasa Naidu|Ramon Erkamp|Jon Fincke|Balasundar Raju,Accept (Poster)
35,https://openreview.net/forum?id=rKiYUGvII6,mGEV: Extension of the GEV Activation to Multiclass Classification,"Unbalanced data poses a challenge when training machine learning algorithms; the algorithm often overfits on the dominant class and neglects the smaller classes. While methods such as oversampling aim to rebalance the data, this can lead to overfitting. When a certain class is underrepresented, either because it a rare disease or few images exist then methods are needed which can adequately account for this. The generalized extreme value (GEV) activation has recently been proposed as a solution to highly unbalanced data; however, the GEV activation is only available for binary classification. We extend this to the multiclass case with the multiclass GEV (mGEV) activation. We conduct experiments on X-ray images, with three classes, showing much-improved performance over the commonly used softmax activation. Code for the mGEV activation is available at [https://github.com/JTBridge/GEV].",Joshua Thomas Bridge|Yalin Zheng,Accept (Poster)
36,https://openreview.net/forum?id=oJi6xpSLdsj,VinDr-RibCXR: A Benchmark Dataset for Automatic Segmentation and Labeling of Individual Ribs on Chest X-rays,"Segmenting and labeling correctly the individual ribs from chest radiograph (CXR) are of significant clinical value for several diagnostic tasks. Developing automatic deep learning (DL) algorithms for this task requires annotated images of the ribs at pixel-level. However, to the best of our knowledge, there exists no such public datasets as well as benchmark protocols for performance evaluation. To solve this problem, we establish a new CXR dataset, namely VinDr-RibCXR, for automatically segmenting and labeling of individual ribs. The VinDr-RibCXR contains 245 posteroanterior CXRs with corresponding segmentation annotations for each rib provided by human experts. Furthermore, we train the state-of-the-art DL-based segmentation models on 196 images from the RibCXR and report performance of those models on an independent test set of 49 images. Our best performing DL model (i.e., Nested U-Net with EfficientNet-B0)  obtains  a  Dice  score  of  0.834 (95% CI, 0.810-0.853). The  sensitivity,  specificity  and  Hausdorff distance are 0.841 (95% CI, 0.812-0.858), 0.998 (95% CI, 0.997-0.998), and 15.453 (95% CI, 13.340-17.450), respectively. These results demonstrate a high-level of performance in labeling of the individual ribs from CXRs. Our study, therefore, serves as a proof of concept and baseline performance for future research. The dataset, codes, and trained DL models will be made publicly available to encourage new advances in this research direction.",Hoang Canh Nguyen|Tung Thanh Le|Hieu Pham|Ha Quy Nguyen,Accept (Poster)
37,https://openreview.net/forum?id=O9EWFKXcXTU,ProtoBrainMaps: Prototypical Brain Maps for Alzheimer's Disease Progression Modeling,"Discovering the brain progression over a lifetime is beneficial for identifying the subject affected by neurodegenerative disorders, such as Alzheimer's disease (AD) which require detection at the earliest possible time for the sake of delaying the progression by the virtue of particular treatments. As brain progressions in terms of both normal aging and AD-pathology tend to be entangled to each other, distinguishing the progression pathways of AD over the normal aging brains is quite an intricate task. To this end, we propose Prototypical Brain Maps (ProtoBrainMaps) for modeling the AD progressions through the established prototypes in the latent space via clinically-guided topological maps. Having devised as an interpretable network, it possesses the ability to establish and synthesize a set of well-interpolated prototypical brains, each corresponding to certain health conditions in terms of neurodegenerative diseases. ",Ahmad Wisnu Mulyadi|Heung-Il Suk,Accept (Poster)
46,https://openreview.net/forum?id=JG895xlWsfA,Multichannel input pixelwise regression 3D U-Nets for medical image estimation with 3 applications in brain MRI,"The U-Net is a robust general-purpose deep learning architecture designed for semantic segmentation of medical images, and has been extended to 3D for volumetric applications such as magnetic resonance imaging (MRI) of the human brain. An adaptation of the U-Net to output pixelwise regression values, instead of class labels, based on multichannel input data, has been developed in the remote sensing satellite imaging research domain. The pixelwise regression U-Net has only received limited consideration as a deep learning architecture in medical imaging for the image estimation/synthesis problem, and the limited work so far did not consider the application of 3D multichannel inputs. In this paper, we propose the use of the multichannel input pixelwise regression 3D U-Net (rUNet) for estimation of medical images. Our findings demonstrate that this approach is robust and versatile and can be applied to predicting a pending MRI examination of patients with Alzheimer's disease based on previous rounds of imaging, can perform medical image reconstruction (parametric mapping) in diffusion MRI, and can be applied to the estimation of one type of MRI examination from a collection of other types. Results demonstrate that the rUNet represents a single deep learning architecture capable of solving a variety of image estimation problems. Public domain code is provided.",Jueqi Wang|Derek Berger|David Mattie|Jacob Levman,Accept (Poster)
47,https://openreview.net/forum?id=70gFxx5ytwh,Double adversarial domain adaptation for whole-slide-imageclassification,"Image classification on whole-slide-image (WSI) is a challenging task. A previous work based on Fisher vector encoding provided a novel end-to-end pipeline with promising accuracy and computational efficiency.
However, this pipeline suffers from an accuracy drop when deployed to another dataset to perform the same task.
This poses a limitation on the practical use of the pipeline especially when the diagnoses of WSIs are hard to obtain.
This paper aims at providing a solution to mitigate the accuracy drop by using an unsupervised domain adaptation approach.
We propose to insert the domain classifiers into the pipeline in two stages to align the features during training. 
We evaluate accuracy by calculating the confusion matrices before and after the adaptation on two datasets. We demonstrate that placing domain classifiers in different stages will boost accuracy.
",Yuchen Yang|Amir Akbarnejad|Nilanjan Ray|Gilbert Bigras,Accept (Poster)
49,https://openreview.net/forum?id=pL_aFZKNO5N,Me-NDT: Neural-backed Decision Tree for Visual Explainability of Deep Medical Models,"Despite the progress of deep learning on medical imaging, there is still not a true understanding of what networks learn and of how decisions are reached. Here, we address this by proposing a Visualized Neural-backed Decision Tree for Medical image analysis, Me-NDT. It is a CNN with a tree-based structure template that allows for both classification and visualization of firing neurons, thus offering interpretability. We also introduce node and path losses that allow Me-NDT to consider the entire path instead of isolated nodes. Our experiments on brain CT and chest radiographs outperform all baselines. Overall, Me-NDT is a lighter, comprehensively explanatory model, of great value for clinical practice. ",Guanghui FU|Ruiqian Wang|Jianqiang Li|Maria Vakalopoulou|Vicky Kalogeiton,Accept (Poster)
50,https://openreview.net/forum?id=9o6zjvbo7b0,An artificial intelligence system for predicting the deterioration of COVID-19 patients in the emergency department,"During the COVID-19 pandemic, rapid and accurate triage of patients at the emergency department is critical to inform decision-making. We propose a data-driven approach for prediction of deterioration risk using a deep neural network that learns from chest X-ray images, and a gradient boosting model that learns from routine clinical variables. Our AI prognosis system, trained using data from 3,661 patients, achieves the AUC of 0.786 (95% CI: 0.742-0.827) when predicting deterioration within 96 hours. Our deep neural network indicates informative areas of chest X-ray images to assist clinicians in interpreting the predictions, and performs comparably to two experienced chest radiologists in a reader study. In summary, our findings demonstrate the potential of the proposed system for assisting front-line physicians in the triage of COVID-19 patients.",Farah Shamout|Yiqiu Shen|Nan Wu|Aakash Kaku|Jungkyu Park|Taro Makino|Stanisław Jastrzębski|Jan Witowski|Duo Wang|Ben Zhang|Siddhant Dogra|Meng Cao|Narges Razavian|David Kudlowitz|Lea Azour|William Moore|Yvonne Lui|Yindalon Aphinyanaphongs|Carlos Fernandez-Granda|Krzysztof J. Geras,Accept (Poster)
52,https://openreview.net/forum?id=ZVqjoKVbYMl,Multimodal Generative Learning on the MIMIC-CXR Database,"Machine Learning has become more and more popular in the medical domain over the past years. While supervised machine learning has already been applied successfully, the vast amount of unlabelled data offers new opportunities for un- and self-supervised learning methods. Especially with regard to the multimodal nature of most clinical data, the labelling of multiple data types becomes quickly infeasible in the medical domain. However, to the best of our knowledge, multimodal unsupervised methods have been tested extensively on toy-datasets only but have never been applied to real-world medical data, for direct applications such as disease classification and image generation. In this article, we demonstrate that self-supervised methods provide promising results on medical data while highlighting that the task is extremely challenging and that there is space for substantial improvements.",Hendrik J. Klug|Thomas M. Sutter|Julia E Vogt,Accept (Poster)
53,https://openreview.net/forum?id=rHAiz2pnxkB,$\mu$PEN: Multi-class PseudoEdgeNet for PD-L1 assessment,"In this paper, we take the recently presented PseudoEdgeNet model to the level of multi-class cell segmentation in histopathology images solely trained with point annotations. We tailor its loss function to the challenges of multi-class segmentation and equip it with an additional false positive loss term. We evaluate it on the assessment of tumor and immune cells in PD-L1 stained lung cancer histopathology images, and compare it with YOLOv5.",Jeroen Vermazeren|Leander van Eekelen|Luca Dulce Meesters|Monika Looijen-Salamon|Shoko Vos|Enrico Munari|Caner Mercan|Francesco Ciompi,Accept (Poster)
55,https://openreview.net/forum?id=HajxTQpPniD,Efficient biomedical image segmentation on Edge TPUs,"Biomedical semantic segmentation is typically performed on dedicated, costly hardware. In a recent study, we suggested an optimized, tiny-weight U-Net for an inexpensive hardware accelerator, the Google Edge TPU. Using an open biomedical dataset for high-speed laryngeal videoendoscopy, we exemplarily show that we can dramatically reduce the parameter space and computations while keeping a high segmentation quality. Using a custom upsampling routine, we fully deployed optimized architectures to the Edge TPU. Combining the optimized architecture and the Edge TPU, we gain a total speedup of >79$\times$ compared to our initial baseline while keeping a high accuracy. This combination allows to provide immediate results at the point of care, especially in constrained computational environments.",Andreas M Kist|Michael Döllinger,Accept (Poster)
59,https://openreview.net/forum?id=CSNQMsxteqm,Transformers for Ischemic Stroke Infarct Core Segmentation from Spatio-temporal CT Perfusion Scans,"The infarct core size is a crucial biomarker for treatment selection for ischemic stroke patients. For this purpose, we present a novel approach to perform infarct core segmentation using CT perfusion (CTP) source data, without ordinary deconvolution analysis. We propose the use of transformers to encode sequential CTP scans in spatial attention maps, which we subsequently use for infarct core segmentation. We report new top results on the ISLES 2018 challenge test data set for infarct core segmentation. This work presents a primary benchmark for infarct core segmentation from CTP source data using transformers.",Lucas de Vries|Bart Emmer|Charles Majoie|Henk Marquering|Efstratios Gavves,Accept (Poster)
62,https://openreview.net/forum?id=PLSdnHPx-W6,Deep ensemble model for segmenting microscopy images in the presence of limited labeled data,"Obtaining large amounts of high quality labeled microscopy data is expensive and time-consuming. To overcome this issue, we propose a deep ensemble model which aims to utilise limited labeled training data. We train multiple identical Convolutional Neural Network (CNN) segmentation models on training data that is partitioned into folds in two steps. First, the data is split based on sample diversity or expert knowledge reflecting the possible {\em modes} of the underlying data distribution. In the second step, these partitions are split into random folds like in a cross-validation setting. Segmentation models based on the U-net architecture are trained on each of these resulting folds yielding the candidate models for our deep ensemble model which are aggregated to obtain the final prediction. The proposed deep ensemble model is compared to relevant baselines, in their ability to segment interneurons in microscopic images of mice spinal cord, showing improved performance on an independent test set.",Jan Mikolaj Kaminski|Ilary Allodi|Roser Montañana-Rosell|Raghavendra Selvan|Ole Kiehn,Accept (Poster)
63,https://openreview.net/forum?id=ULm4D5bsiaE,TG-DGM: Clustering Brain Activity using a Temporal Graph Deep Generative Model,"Spatiotemporal graphs are a natural representation of dynamic brain activity derived from functional magnetic imaging (fMRI) data. Previous works, however, tend to ignore time dynamics of the brain and focus on static graphs. In this paper, we propose a temporal graph deep generative model (TG-DGM) which clusters brain regions into communities that evolve over time. In particular, subject embeddings capture inter-subject variability and its impact on communities using neural networks. We validate our model on the UK Biobank data. Results of up to 0.81 AUC ROC on the task of biological sex classification demonstrate that injecting time dynamics in our model outperforms a static baseline.",Simeon Emilov Spasov|Alexander Campbell|Giovana Dimitri|Alessandro Di Stefano|franco scarselli|Pietro Lio,Accept (Poster)
64,https://openreview.net/forum?id=7EZ4JOtlRl,Quality control of whole-slide images through multi-class semantic segmentation of artifacts,"Quality control is an integral part in the digitization process of whole-slide histopathology images due to artifacts that arise during various stages of slide preparation. Manual control and supervision of these gigapixel images are labor-intensive.  Therefore, we report the first multi-class deep learning model trained on whole-slide images covering multiple tissue and stain types for semantic segmentation of artifacts.  Our approach reaches a Dice score of 0.91, on average, across six artifact types, and outperforms the competition on external test set. Finally, we extend the artifact segmentation network to a multi-decision quality control system that can be deployed in routine clinical practice.",Gijs Smit|Francesco Ciompi|Maria Cigéhn|Anna Bodén|Jeroen van der Laak|Caner Mercan,Accept (Poster)
65,https://openreview.net/forum?id=0wblcjbC2sN,Interpretable Medical Image Classification with Self-Supervised Anatomical Embedding and Prior Knowledge,"In medical image analysis tasks, it is important to make machine learning models focus on correct anatomical locations, so as to improve interpretability and robustness of the model. We adopt a latest algorithm called self-supervised anatomical embedding (SAM) to locate point of interest (POI) on computed tomography (CT) scans. SAM can detect arbitrary POI with only one labeled sample needed. Then, we can extract targeted features from the POIs to train a simple prediction model guided by clinical prior knowledge. This approach mimics the practice of human radiologists, thus is interpretable, controllable, and robust. We illustrate our approach on the application of CT contrast phase classification and it outperforms an existing deep learning based method trained on the whole image.",Ke Yan|Youbao Tang|Adam P Harrison|Jinzheng Cai|Le Lu|Jingjing Lu,Accept (Poster)
67,https://openreview.net/forum?id=h7t0cFuX0m4,Recurrent Inference Machines as Inverse Problem Solvers for MR Relaxometry,"In this work, we propose the use of Recurrent Inference Machines (RIMs) to perform $T_1$ mapping. The RIM is a neural network framework that learns an iterative inference process using a model of the signal, similar to conventional statistical methods for quantitative MRI (QMRI), such as the Maximum Likelihood Estimator (MLE). Previously, RIMs were used to solve linear inverse reconstruction problems. Here, we show that they can also be used to optimize non-linear problems. The developed RIM framework is evaluated in terms of accuracy and precision and compared to an MLE method and an implementation of the ResNet. The results show that, compared to the other techniques in Monte Carlo experiments with simulated data, the RIM improves the precision of estimates without compromising in accuracy.",Emanoel Ribeiro Sabidussi|Stefan Klein|Matthan W. A. Caan|Shabab Bazrafkan|Arjan J. den Dekker|Jan Sijbers|Wiro Niessen|Dirk Poot,Accept (Poster)
68,https://openreview.net/forum?id=aGfL5C9wRx_,Test-Time Mixup Augmentation for Uncertainty Estimation in Skin Lesion Diagnosis,"Uncertainty is considered to be an important measure that provides valuable information on the learning behavior of deep neural networks. In this paper, we propose an uncertainty estimation method using test-time mixup augmentation (TTMA). The TTMA uncertainty is obtained by replacing affine augmentation with the mixup in the existing test-time augmentation (TTA) method. In addition to the data uncertainty, we propose TTMA-based class-specific uncertainty, which can provide information on between-class confusion. In experiments on the skin lesion diagnosis dataset, we confirmed that the proposed TTMA not only provides better epistemic uncertainty than TTA but also provides information on between-class confusion through class-specific uncertainty.",Hansang Lee|Haeil Lee|Helen Hong|Junmo Kim,Accept (Poster)
70,https://openreview.net/forum?id=CdQn5goh0E4,Comparison of CNN models on a multi-scanner database in colon cancer histology,"One of the most important challenges for computer-aided analysis in digital pathology is the development of robust deep neural networks, which can cope with variations in color and resolution of digitized whole-slide images (WSIs). It has been shown that color augmentation during training is a useful method to aid a model generalize better to heterogeneous data. In this work, we compare state of the art models EfficientNet, Xception, Inception, ResNet, DenseNet, MobileNet and QuickNet on a multi-scanner database comprising slides each digitized with six different scanners. All of the networks are trained with data of only one scanner applying a combination of color and blur augmentation techniques. All models show similar tendencies across the different scanner databases but differ in the overall classification accuracy. Differences in training and inference time, however, are more pronounced: on a mid-range GPU, the inference time of the fastest model (QuickNet) is 13 times faster than the slowest one (EfficientNet B4). There is also a trade-off between speed and accuracy, the slower networks are more stable across different scanners and show the overall best performance. A good compromise between quality and inference time is achieved by EfficientNet B0.",Petr Kuritcyn|Michaela Benz|Jakob Dexl|Volker Bruns|Arndt Hartmann|Carol Geppert,Accept (Poster)
73,https://openreview.net/forum?id=hPUnpHJHuy,Learning to Represent Whole Slide Images by Selecting Cell Graphs of Patches,"Advances in multiplex biomarker imaging systems have enabled the study of complex spatial biology within the tumor microenvironment. However, the high-resolution multiplexed images are often only available for a subset of regions of interest (RoIs), clinical data is not easily accessible and the datasets are generally too small to apply off-the-shelf deep learning methods commonly used in histopathology. In this paper, we focus on datasets with few images and without labels, and aim to learn representations for slides. We choose a task of patient identification that leads our new model to select RoIs with discriminative properties and infer patient-specific features that can be used later for any task via transfer learning. The experimental results on the synthetic data generated by taking the tumor microenvironment into account indicate that the proposed method is a promising step towards computer-aided analysis in unlabeled datasets of high-resolution images.",Yinan Zhang|Beril Besbinar|Pascal Frossard,Accept (Poster)
